listener_clip_uid,listener_video_path,listener_text_path,listener_audio_path,listener_openface_path,speaker_video_path,speaker_text_path,speaker_audio_path,speaker_openface_path,engagement
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0001,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip1.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip1.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip1.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip1.csv,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.csv,0.0199999999999999
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0001,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip2.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip2.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip2.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip2.csv,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.csv,0.0999999999999999
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0001,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip4.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip4.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip4.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip4.csv,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.csv,0.0099999999999999
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0003,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip1.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip1.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip1.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip1.csv,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,0.0899999999999999
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0003,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip3.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip3.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip3.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip3.csv,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,0.1266666666666666
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0003,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip4.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip4.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip4.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip4.csv,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,0.0066666666666666
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0003,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip5.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip5.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip5.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip5.csv,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,-2.775557561562892e-17
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0004,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip2.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip2.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip2.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip2.csv,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.csv,0.1066666666666666
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0004,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip3.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip3.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip3.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip3.csv,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.csv,0.13
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0004,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip4.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip4.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip4.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip4.csv,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.csv,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.txt,features/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.pt,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.csv,0.0266666666666666
