,Vid_num,Video Link
0,0,
1,1,data/engagement/video/Te_Awamutu_Community_Board_Meeting_14_September_2021/clip0085/Te_Awamutu_Community_Board_Meeting_14_September_2021203_clip4.mp4
2,2,data/engagement/video/Group_therapy_video_2/clip0009/Group_therapy_video_27_clip3.mp4
3,3,data/engagement/video/Early_Mid_StageCare_Support_Group_Webinar_10th_September_2021/clip0012/Early_Mid_StageCare_Support_Group_Webinar_10th_September_202175_clip3.mp4
4,4,data/engagement/video/Stroke_Buddies_Support_Group_Meeting_#5/clip0091/Stroke_Buddies_Support_Group_Meeting_#5101_clip4.mp4
5,5,data/engagement/video/August_Facebook_Live/clip0080/August_Facebook_Live47_clip7.mp4
6,6,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0117/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic89_clip1.mp4
7,7,data/engagement/video/August_Facebook_Live/clip0094/August_Facebook_Live55_clip5.mp4
8,8,data/engagement/video/Group_therapy_video_2/clip0071/Group_therapy_video_253_clip2.mp4
9,9,data/engagement/video/August_Facebook_Live/clip0028/August_Facebook_Live21_clip2.mp4
10,10,data/engagement/video/Dry_Eye_Zoom_Group_October_14_2022/clip0001/Dry_Eye_Zoom_Group_October_14_202226_clip2.mp4
11,11,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0017/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic15_clip3.mp4
12,12,data/engagement/video/zoom_group_therapy_session_1/clip0017/zoom_group_therapy_session_135_clip1.mp4
13,13,data/engagement/video/August_Facebook_Live/clip0061/August_Facebook_Live38_clip4.mp4
14,14,data/engagement/video/Te_Awamutu_Community_Board_Meeting_14_September_2021/clip0051/Te_Awamutu_Community_Board_Meeting_14_September_2021191_clip3.mp4
15,15,data/engagement/video/zoom_group_therapy_session_1/clip0026/zoom_group_therapy_session_143_clip5.mp4
16,16,data/engagement/video/Te_Awamutu_Community_Board_Meeting_14_September_2021/clip0038/Te_Awamutu_Community_Board_Meeting_14_September_2021185_clip8.mp4
17,17,data/engagement/video/PCA_Support_Group_Webinar_-_1st_December_2023/clip0016/PCA_Support_Group_Webinar_-_1st_December_2023127_clip2.mp4
18,18,data/engagement/video/grief_support_group/clip0032/grief_support_group54_clip4.mp4
19,19,data/engagement/video/Te_Awamutu_Community_Board_Meeting_14_September_2021/clip0006/Te_Awamutu_Community_Board_Meeting_14_September_2021174_clip6.mp4
20,20,data/engagement/video/Te_Awamutu_Community_Board_Meeting_14_September_2021/clip0126/Te_Awamutu_Community_Board_Meeting_14_September_2021219_clip8.mp4
21,21,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0048/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic43_clip4.mp4
22,22,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0057/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic51_clip4.mp4
23,23,data/engagement/video/Group_therapy_video_2/clip0047/Group_therapy_video_235_clip5.mp4
24,24,data/engagement/video/August_Facebook_Live/clip0101/August_Facebook_Live57_clip2.mp4
25,25,data/engagement/video/Group_therapy_video_2/clip0117/Group_therapy_video_285_clip2.mp4
26,26,data/engagement/video/Te_Awamutu_Community_Board_Meeting_14_September_2021/clip0072/Te_Awamutu_Community_Board_Meeting_14_September_2021200_clip7.mp4
27,27,data/engagement/video/grief_support_group/clip0004/grief_support_group14_clip2.mp4
