listener_clip_uid,listener_video_path,listener_text_path,listener_audio_path,listener_openface_path,speaker_video_path,speaker_text_path,speaker_audio_path,speaker_openface_path,engagement
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0001,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip1.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip1.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip1.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip1.csv,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.csv,0.01999999999999998
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0001,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip2.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip2.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip2.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip2.csv,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.csv,0.09999999999999995
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0001,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip4.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip4.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip4.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip4.csv,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0001/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic2_clip3.csv,0.00999999999999995
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0003,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip1.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip1.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip1.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip1.csv,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,0.08999999999999997
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0003,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip3.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip3.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip3.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip3.csv,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,0.12666666666666662
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0003,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip4.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip4.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip4.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip4.csv,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,0.006666666666666679
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0003,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip5.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip5.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip5.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip5.csv,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0003/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic7_clip2.csv,-2.7755575615628914e-17
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0004,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip2.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip2.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip2.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip2.csv,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.csv,0.10666666666666662
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0004,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip3.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip3.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip3.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip3.csv,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.csv,0.13
Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic_clip0004,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip4.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip4.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip4.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip4.csv,data/engagement/video/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.mp4,data/engagement/text/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.txt,data/engagement/audio/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.wav,data/engagement/featopenface/Ask_a_Therapist_How_to_Manage_Mental_Health_During_a_Pandemic/clip0004/Ask_a_Therapist__How_to_Manage_Mental_Health_During_a_Pandemic8_clip1.csv,0.026666666666666634
